NA,NA,NA,0.625,0.592,NA,NA,0.548,0.54,NA
NA,NA,NA,NA,NA,0.5,0.5,NA,NA,0.5
NA,NA,NA,0.375,0.408,NA,NA,0.452,0.46,NA
NA,NA,NA,NA,NA,0.36,0.386,NA,NA,0.431
NA,NA,NA,0.167,0.242,NA,NA,0.36,0.381,NA
NA,NA,NA,NA,NA,0.235,0.281,NA,NA,0.364
NA,NA,NA,0.042,0.117,NA,NA,0.274,0.306,NA
NA,NA,NA,NA,NA,0.136,0.191,NA,NA,0.3
NA,NA,NA,NA,0.042,NA,NA,0.199,0.238,NA
NA,NA,NA,NA,NA,0.068,0.119,NA,NA,0.242
NA,NA,NA,NA,0.0083,NA,NA,0.138,0.179,NA
NA,NA,NA,NA,NA,0.028,0.068,NA,NA,0.19
NA,NA,NA,NA,NA,NA,NA,0.089,0.13,NA
NA,NA,NA,NA,NA,0.0083,0.035,NA,NA,0.146
NA,NA,NA,NA,NA,NA,NA,0.054,0.09,NA
NA,NA,NA,NA,NA,0.0014,0.015,NA,NA,0.108
NA,NA,NA,NA,NA,NA,NA,0.031,0.06,NA
NA,NA,NA,NA,NA,NA,0.0054,NA,NA,78
NA,NA,NA,NA,NA,NA,NA,0.016,0.038,NA
NA,NA,NA,NA,NA,NA,0.0014,NA,NA,0.054
NA,NA,NA,NA,NA,NA,NA,0.0071,0.022,NA
NA,NA,NA,NA,NA,NA,0.0002,NA,NA,0.036
NA,NA,NA,NA,NA,NA,NA,0.0028,0.012,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023
NA,NA,NA,NA,NA,NA,NA,0.00087,0.0063,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014
NA,NA,NA,NA,NA,NA,NA,0.00019,0.0029,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0083
NA,NA,NA,NA,NA,NA,NA,2.5e-05,0.0012,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0046
NA,NA,NA,NA,NA,NA,NA,NA,0.00043,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023
NA,NA,NA,NA,NA,NA,NA,NA,0.00012,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011
NA,NA,NA,NA,NA,NA,NA,NA,2.5e-05,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00047
NA,NA,NA,NA,NA,NA,NA,NA,2.8e-06,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8e-05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8e-06
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8e-07
